reference_condition,comparison_condition,metric,reference_point,comparison_point,difference_reference_minus_comparison,ci_lower_95_difference,ci_upper_95_difference,bootstrap_p_two_sided,n_bootstrap
LearnedSACUMetaFusion,AdaptiveWeightFusion,roc_auc,0.7161112647492625,0.7108568399705014,0.005254424778761035,-0.0031680481754474384,0.0135651520748673,0.207,2000
LearnedSACUMetaFusion,AdaptiveWeightFusion,average_precision,0.39877184079463673,0.3866556402713886,0.012116200523248133,-9.542438229877409e-05,0.025701715120054466,0.051,2000
LearnedSACUMetaFusion,AdaptiveWeightFusion,balanced_accuracy,0.6761615044247787,0.5619469026548672,0.1142146017699115,0.07017520074441624,0.1607220397192772,0.0,2000
LearnedSACUMetaFusion,AdaptiveWeightFusion,f1,0.39069767441860465,0.22018348623853212,0.17051418818007252,0.06440372575965794,0.2748036013865719,0.003,2000
LearnedSACUMetaFusion,AdaptiveWeightFusion,mcc,0.32055267326193376,0.322210116151277,-0.0016574428893432192,-0.09893676212865708,0.10697493602047914,0.989,2000
LearnedSACUMetaFusion,AdaptiveWeightFusion,sensitivity_recall,0.4375,0.125,0.3125,0.22222222222222224,0.40196331109763495,0.0,2000
LearnedSACUMetaFusion,AdaptiveWeightFusion,specificity,0.9148230088495575,0.9988938053097345,-0.08407079646017701,-0.10281825732407127,-0.06600660066006603,0.0,2000
LearnedSACUMetaFusion,FixedEqualWeightFusion,roc_auc,0.7161112647492625,0.7122050147492626,0.003906249999999889,-0.01063885970826339,0.01843224368556131,0.613,2000
LearnedSACUMetaFusion,FixedEqualWeightFusion,average_precision,0.39877184079463673,0.3862538223281692,0.012518018466467551,-0.0014694123111549384,0.026478743091820064,0.084,2000
LearnedSACUMetaFusion,FixedEqualWeightFusion,balanced_accuracy,0.6761615044247787,0.5463219026548672,0.1298396017699115,0.08502838830500553,0.1772162373502977,0.0,2000
LearnedSACUMetaFusion,FixedEqualWeightFusion,f1,0.39069767441860465,0.16981132075471697,0.22088635366388767,0.11484165774488353,0.3247219560809746,0.0,2000
LearnedSACUMetaFusion,FixedEqualWeightFusion,mcc,0.32055267326193376,0.2742954601586821,0.04625721310325165,-0.05875460072260996,0.16525184471425172,0.382,2000
LearnedSACUMetaFusion,FixedEqualWeightFusion,sensitivity_recall,0.4375,0.09375,0.34375,0.25286751361161525,0.43591954022988494,0.0,2000
LearnedSACUMetaFusion,FixedEqualWeightFusion,specificity,0.9148230088495575,0.9988938053097345,-0.08407079646017701,-0.10281825732407127,-0.06600660066006603,0.0,2000
LearnedSACUMetaFusion,StaticGlobalWeightFusion,roc_auc,0.7161112647492625,0.7125622234513276,0.003549041297934874,-0.004580182860746629,0.011468896000725249,0.369,2000
LearnedSACUMetaFusion,StaticGlobalWeightFusion,average_precision,0.39877184079463673,0.39277815587075443,0.005993684923882303,-0.0022922130515862183,0.015051385889659223,0.164,2000
LearnedSACUMetaFusion,StaticGlobalWeightFusion,balanced_accuracy,0.6761615044247787,0.5619469026548672,0.1142146017699115,0.07017520074441624,0.1607220397192772,0.0,2000
LearnedSACUMetaFusion,StaticGlobalWeightFusion,f1,0.39069767441860465,0.22018348623853212,0.17051418818007252,0.06440372575965794,0.2748036013865719,0.003,2000
LearnedSACUMetaFusion,StaticGlobalWeightFusion,mcc,0.32055267326193376,0.322210116151277,-0.0016574428893432192,-0.09893676212865708,0.10697493602047914,0.989,2000
LearnedSACUMetaFusion,StaticGlobalWeightFusion,sensitivity_recall,0.4375,0.125,0.3125,0.22222222222222224,0.40196331109763495,0.0,2000
LearnedSACUMetaFusion,StaticGlobalWeightFusion,specificity,0.9148230088495575,0.9988938053097345,-0.08407079646017701,-0.10281825732407127,-0.06600660066006603,0.0,2000
LearnedSACUMetaFusion,DominantPathwayOnly,roc_auc,0.7161112647492625,0.6362635969764012,0.07984766777286123,0.03152659683597302,0.13035150722823147,0.002,2000
LearnedSACUMetaFusion,DominantPathwayOnly,average_precision,0.39877184079463673,0.3247401275422161,0.07403171325242064,0.02009389591093957,0.12093514821716787,0.004,2000
LearnedSACUMetaFusion,DominantPathwayOnly,balanced_accuracy,0.6761615044247787,0.5619469026548672,0.1142146017699115,0.07017520074441624,0.1607220397192772,0.0,2000
LearnedSACUMetaFusion,DominantPathwayOnly,f1,0.39069767441860465,0.22018348623853212,0.17051418818007252,0.06440372575965794,0.2748036013865719,0.003,2000
LearnedSACUMetaFusion,DominantPathwayOnly,mcc,0.32055267326193376,0.322210116151277,-0.0016574428893432192,-0.09893676212865708,0.10697493602047914,0.989,2000
LearnedSACUMetaFusion,DominantPathwayOnly,sensitivity_recall,0.4375,0.125,0.3125,0.22222222222222224,0.40196331109763495,0.0,2000
LearnedSACUMetaFusion,DominantPathwayOnly,specificity,0.9148230088495575,0.9988938053097345,-0.08407079646017701,-0.10281825732407127,-0.06600660066006603,0.0,2000
LearnedSACUMetaFusion,Top1_AdaptiveFusion,roc_auc,0.7161112647492625,0.6362635969764012,0.07984766777286123,0.03152659683597302,0.13035150722823147,0.002,2000
LearnedSACUMetaFusion,Top1_AdaptiveFusion,average_precision,0.39877184079463673,0.3247401275422161,0.07403171325242064,0.02009389591093957,0.12093514821716787,0.004,2000
LearnedSACUMetaFusion,Top1_AdaptiveFusion,balanced_accuracy,0.6761615044247787,0.5619469026548672,0.1142146017699115,0.07017520074441624,0.1607220397192772,0.0,2000
LearnedSACUMetaFusion,Top1_AdaptiveFusion,f1,0.39069767441860465,0.22018348623853212,0.17051418818007252,0.06440372575965794,0.2748036013865719,0.003,2000
LearnedSACUMetaFusion,Top1_AdaptiveFusion,mcc,0.32055267326193376,0.322210116151277,-0.0016574428893432192,-0.09893676212865708,0.10697493602047914,0.989,2000
LearnedSACUMetaFusion,Top1_AdaptiveFusion,sensitivity_recall,0.4375,0.125,0.3125,0.22222222222222224,0.40196331109763495,0.0,2000
LearnedSACUMetaFusion,Top1_AdaptiveFusion,specificity,0.9148230088495575,0.9988938053097345,-0.08407079646017701,-0.10281825732407127,-0.06600660066006603,0.0,2000
LearnedSACUMetaFusion,Top2_AdaptiveFusion,roc_auc,0.7161112647492625,0.6748018067846608,0.041309457964601615,0.010216007460914353,0.07229804696333107,0.008,2000
LearnedSACUMetaFusion,Top2_AdaptiveFusion,average_precision,0.39877184079463673,0.3674002852754561,0.03137155551918064,0.0027004050664461684,0.06420717446594791,0.039,2000
LearnedSACUMetaFusion,Top2_AdaptiveFusion,balanced_accuracy,0.6761615044247787,0.5671552359882006,0.10900626843657812,0.0650562135968821,0.15405954030954028,0.0,2000
LearnedSACUMetaFusion,Top2_AdaptiveFusion,f1,0.39069767441860465,0.23636363636363636,0.1543340380549683,0.04772900528299301,0.25959467669889225,0.007,2000
LearnedSACUMetaFusion,Top2_AdaptiveFusion,mcc,0.32055267326193376,0.3367652192643737,-0.01621254600243993,-0.11320333242741916,0.09276874757513225,0.778,2000
LearnedSACUMetaFusion,Top2_AdaptiveFusion,sensitivity_recall,0.4375,0.13541666666666666,0.30208333333333337,0.21505125113053966,0.3894736842105263,0.0,2000
LearnedSACUMetaFusion,Top2_AdaptiveFusion,specificity,0.9148230088495575,0.9988938053097345,-0.08407079646017701,-0.10281825732407127,-0.06600660066006603,0.0,2000
LearnedSACUMetaFusion,Top3_AdaptiveFusion,roc_auc,0.7161112647492625,0.6854834992625369,0.030627765486725522,0.0065923588086425405,0.054082505929459304,0.01,2000
LearnedSACUMetaFusion,Top3_AdaptiveFusion,average_precision,0.39877184079463673,0.366434546170431,0.03233729462420576,0.006754573878971946,0.06119539204035794,0.009,2000
LearnedSACUMetaFusion,Top3_AdaptiveFusion,balanced_accuracy,0.6761615044247787,0.5613938053097345,0.11476769911504425,0.07079347026442204,0.16136839272822556,0.0,2000
LearnedSACUMetaFusion,Top3_AdaptiveFusion,f1,0.39069767441860465,0.21818181818181817,0.17251585623678647,0.06632558962855967,0.2765035113976244,0.001,2000
LearnedSACUMetaFusion,Top3_AdaptiveFusion,mcc,0.32055267326193376,0.3078732134935798,0.01267945976835394,-0.09013496486374513,0.12464264526231877,0.823,2000
LearnedSACUMetaFusion,Top3_AdaptiveFusion,sensitivity_recall,0.4375,0.125,0.3125,0.22222222222222224,0.40196331109763495,0.0,2000
LearnedSACUMetaFusion,Top3_AdaptiveFusion,specificity,0.9148230088495575,0.9977876106194691,-0.0829646017699116,-0.10181125571805938,-0.06504603602587386,0.0,2000
LearnedSACUMetaFusion,Top4_AdaptiveFusion,roc_auc,0.7161112647492625,0.701431139380531,0.014680125368731423,0.001674092952141279,0.031800210941010855,0.018,2000
LearnedSACUMetaFusion,Top4_AdaptiveFusion,average_precision,0.39877184079463673,0.37048592991452545,0.028285910880111287,0.0065314532929464765,0.05449150981260179,0.011,2000
LearnedSACUMetaFusion,Top4_AdaptiveFusion,balanced_accuracy,0.6761615044247787,0.5619469026548672,0.1142146017699115,0.07017520074441624,0.1607220397192772,0.0,2000
LearnedSACUMetaFusion,Top4_AdaptiveFusion,f1,0.39069767441860465,0.22018348623853212,0.17051418818007252,0.06440372575965794,0.2748036013865719,0.003,2000
LearnedSACUMetaFusion,Top4_AdaptiveFusion,mcc,0.32055267326193376,0.322210116151277,-0.0016574428893432192,-0.09893676212865708,0.10697493602047914,0.989,2000
LearnedSACUMetaFusion,Top4_AdaptiveFusion,sensitivity_recall,0.4375,0.125,0.3125,0.22222222222222224,0.40196331109763495,0.0,2000
LearnedSACUMetaFusion,Top4_AdaptiveFusion,specificity,0.9148230088495575,0.9988938053097345,-0.08407079646017701,-0.10281825732407127,-0.06600660066006603,0.0,2000
